like1,parP0,parHs,parD,parr,parphi_soil_top,parphi_weathered_top,parphi_fresh,simulation_0,chain
4.374435,0.00017775885,0.57538503,0.0011052325,0.9242407,0.498478,0.40726876,0.060221653,4.374435,0.0
1.8401519,7.609992e-05,0.3718081,0.00037429293,0.26802975,0.5152925,0.4047673,0.07255464,1.8401519,0.0
1.2222857,0.00018211216,0.31740037,0.0014192644,0.57577753,0.55421823,0.42817035,0.09500787,1.2222857,0.0
1.4425135,0.00011393483,0.56255347,0.00034691076,0.45578793,0.5538033,0.44294378,0.08247011,1.4425135,0.0
1.6632476,8.441667e-05,0.97405577,0.0005912612,0.4166358,0.52809805,0.38901255,0.062241465,1.6632476,0.0
4.1133013,0.00012144748,0.15152176,0.00050800596,0.8695045,0.50619817,0.33696777,0.055824537,4.1133013,0.0
3.2425542,0.0001277813,0.31747127,0.00049465406,0.8098382,0.4782532,0.38790476,0.06386714,3.2425542,0.0
1.6199799,0.00018310425,0.41459554,0.0014280551,0.38404414,0.57499,0.4306385,0.08482078,1.6199799,0.0
2.2985463,7.306875e-05,0.14269736,0.00043802647,0.76858544,0.5551836,0.35555866,0.08217249,2.2985463,0.0
1.7755659,0.00010370302,0.1438756,0.0014546923,0.5879159,0.46953082,0.30558982,0.08054575,1.7755659,0.0
2.7311726,6.609602e-05,0.99828136,0.001647953,0.6465441,0.45732504,0.41879293,0.052867226,2.7311726,0.0
1.3909925,0.00011971171,0.9340913,0.00090338715,0.3830532,0.567561,0.34523338,0.0815894,1.3909925,0.0
1.6560284,0.00014196454,0.97067314,0.0019502068,0.75622106,0.4607636,0.42339134,0.09565085,1.6560284,0.0
1.4876603,7.511578e-05,0.9854894,0.0011127406,0.67059743,0.4719547,0.29092473,0.09994108,1.4876603,0.0
2.0172818,0.00016927766,0.4582412,0.0015106059,0.32897565,0.47291923,0.42593172,0.09540337,2.0172818,0.0
1.454251,0.00012078174,0.87492764,0.0006994759,0.38117957,0.45494828,0.37747797,0.0798475,1.454251,0.0
1.733328,0.00015906354,0.91959155,0.0002929679,0.43504724,0.51207596,0.399328,0.0596482,1.733328,0.0
3.224941,0.00014556633,0.82412565,0.0014379494,0.71906346,0.4869035,0.25781462,0.059785917,3.224941,0.0
1.4984225,0.0001820827,0.9488135,0.00062938494,0.4479369,0.5789055,0.34927014,0.071039096,1.4984225,0.0
1.9951333,0.00015874072,0.58776504,0.0014071936,0.5673215,0.5706207,0.44843182,0.060597587,1.9951333,0.0
2.4156702,0.00018333174,0.13986933,0.0004426901,0.85338223,0.56280833,0.29516476,0.09709921,2.4156702,0.0
1.2586721,8.2767925e-05,0.15288895,0.0012594782,0.49490228,0.49105135,0.3843407,0.09178049,1.2586721,0.0
1.3952614,7.853778e-05,0.41851503,0.0006825354,0.3228648,0.5837439,0.30812317,0.08651671,1.3952614,0.0
1.6969557,0.0001479202,0.6037142,0.000789263,0.3031632,0.5334719,0.34162942,0.05840419,1.6969557,0.0
1.5005602,0.00019703986,0.47403565,0.0006108391,0.43458474,0.5934895,0.39587396,0.09398035,1.5005602,0.0
1.8703218,0.00013140238,0.8099161,0.0014525127,0.30258414,0.47005153,0.28053483,0.056351066,1.8703218,0.0
2.2338471,0.00010750231,0.28584233,0.0010824241,0.5345298,0.48701182,0.25051647,0.06942987,2.2338471,0.0
1.9033821,0.00018176924,0.2551288,0.00013583989,0.5854056,0.52781814,0.43885157,0.06586384,1.9033821,0.0
1.7091445,0.00011689658,0.9263546,0.00076130335,0.5202414,0.4955077,0.3942152,0.0670018,1.7091445,0.0
3.4775708,6.315616e-05,0.49981984,0.00034062564,0.8119965,0.5045771,0.44356656,0.0562491,3.4775708,0.0
